event_id,entity_type,entity_id,customer_id,event_type,amount,currency,timestamp,metadata
evt_cda93b414fb043fd,payment,pay_ada6cdeccab943a1,cust_0f09569fbcea48de,payment.created,2499,INR,2026-07-06T18:34:41.788527,{}
evt_07fa004342f04587,payment,pay_ada6cdeccab943a1,cust_0f09569fbcea48de,payment.failed,2499,INR,2026-07-06T18:35:32.788527,"{""reason"": ""expired_card""}"
evt_8fe382877989415d,checkout,chk_3f58aa2caf1a4eef,cust_952f30d066ab43cf,checkout.created,1499,INR,2026-07-10T03:28:49.788527,{}
evt_212e8994cfc94fd3,checkout,chk_3f58aa2caf1a4eef,cust_952f30d066ab43cf,checkout.completed,1499,INR,2026-07-10T03:29:44.788527,{}
evt_cd0722dda3bf4787,payment,pay_8b14f0240f244580,cust_949fec18d86e47cf,payment.created,999,INR,2026-07-11T06:09:40.788527,{}
evt_3c54f3a5b0244c0c,payment,pay_8b14f0240f244580,cust_949fec18d86e47cf,payment.failed,999,INR,2026-07-11T06:10:39.788527,"{""reason"": ""insufficient_funds""}"
evt_96a2e8f4e74b4680,checkout,chk_e346719d2336405c,cust_82559b82a8b240bb,checkout.created,19999,INR,2026-07-12T06:48:19.788527,{}
evt_054bfeb684df4cec,checkout,chk_e346719d2336405c,cust_82559b82a8b240bb,checkout.completed,19999,INR,2026-07-12T06:49:17.788527,{}
evt_c37412952fa44b88,payment,pay_3d4f30c6d380451e,cust_9439d2d3c2d04c83,payment.created,1499,INR,2026-07-12T09:26:07.788527,{}
evt_4a5e9598123544a1,payment,pay_3d4f30c6d380451e,cust_9439d2d3c2d04c83,payment.authorized,1499,INR,2026-07-12T09:26:10.788527,{}
evt_77ade38bd2b74bb6,payment,pay_3d4f30c6d380451e,cust_9439d2d3c2d04c83,payment.captured,1499,INR,2026-07-12T09:26:13.788527,{}
evt_d187facecba34cda,subscription,sub_371a2cf10d874a4f,cust_826f3e6850d743de,subscription.created,1499,INR,2026-07-12T17:27:44.788527,"{""plan"": ""plan_pro""}"
evt_797e58dac9a44a66,subscription,sub_17601c215a5642b1,cust_4fe4f79fd2d0458c,subscription.created,499,INR,2026-07-13T17:51:10.788527,"{""plan"": ""plan_basic""}"
evt_78b9dbbc386a47d8,subscription,sub_ed393d209fb2420c,cust_952f30d066ab43cf,subscription.created,499,INR,2026-07-13T20:41:34.788527,"{""plan"": ""plan_basic""}"
evt_d8c3dfd19ba44a9a,payment,pay_9c6813a3b3cd4f03,cust_b4d4044fa3c74933,payment.created,19999,INR,2026-07-14T12:29:13.788527,{}
evt_7be1117c492744f2,payment,pay_9c6813a3b3cd4f03,cust_b4d4044fa3c74933,payment.failed,19999,INR,2026-07-14T12:29:54.788527,"{""reason"": ""invalid_payment_method""}"
evt_8c770128c7584f16,payment,pay_9273439640244807,cust_f4fa33d4c771491c,payment.created,19999,INR,2026-07-14T16:29:47.788527,{}
evt_fa0f1a78ce5943f6,payment,pay_9273439640244807,cust_f4fa33d4c771491c,payment.authorized,19999,INR,2026-07-14T16:29:55.788527,{}
evt_b747d69660bc4658,payment,pay_9273439640244807,cust_f4fa33d4c771491c,payment.captured,19999,INR,2026-07-14T16:29:58.788527,{}
evt_929e677be31f42e3,subscription,sub_27fba8d2dee04406,cust_2416493153d543d9,subscription.created,1499,INR,2026-07-15T05:54:23.788527,"{""plan"": ""plan_pro""}"
evt_11bdf7dd9bdf41e1,payment,pay_770b03260ec249b6,cust_bb9a6cfd20b4420e,payment.created,499,INR,2026-07-15T11:25:51.788527,{}
evt_feacc783afb84559,payment,pay_770b03260ec249b6,cust_bb9a6cfd20b4420e,payment.authorized,499,INR,2026-07-15T11:25:57.788527,{}
evt_f9d339484a8b4ef9,payment,pay_770b03260ec249b6,cust_bb9a6cfd20b4420e,payment.captured,499,INR,2026-07-15T11:26:02.788527,{}
evt_9fdc9f5cf88e4e76,payment,pay_9a07f698f9fd4e7d,cust_e49624db3c2b49ca,payment.created,999,INR,2026-07-15T11:59:40.788527,{}
evt_b943e8846491459f,payment,pay_9a07f698f9fd4e7d,cust_e49624db3c2b49ca,payment.failed,999,INR,2026-07-15T12:00:14.788527,"{""reason"": ""network_error""}"
evt_ed5f7c9eed184250,payment,pay_c245962453a042bc,cust_0425780fa78643aa,payment.created,19999,INR,2026-07-15T13:32:34.788527,{}
evt_e25490ccb94d47f9,payment,pay_c245962453a042bc,cust_0425780fa78643aa,payment.authorized,19999,INR,2026-07-15T13:32:42.788527,{}
evt_41f776dc45de48ef,payment,pay_c245962453a042bc,cust_0425780fa78643aa,payment.captured,19999,INR,2026-07-15T13:32:44.788527,{}
evt_764f49fdde114a88,payment,pay_866dca4752c941e9,cust_128887ede58a42fd,payment.created,9999,INR,2026-07-15T13:48:22.788527,{}
evt_a5039b23c09743ca,payment,pay_866dca4752c941e9,cust_128887ede58a42fd,payment.authorized,9999,INR,2026-07-15T13:48:29.788527,{}
evt_7b80d222126143a3,payment,pay_866dca4752c941e9,cust_128887ede58a42fd,payment.captured,9999,INR,2026-07-15T13:48:31.788527,{}
evt_3f674e4e8a9e4228,payment,pay_bad680293c2b4eab,cust_21822ad9691942ac,payment.created,4999,INR,2026-07-15T19:35:30.788527,{}
evt_d265adb8357e4547,payment,pay_bad680293c2b4eab,cust_21822ad9691942ac,payment.failed,4999,INR,2026-07-15T19:35:46.788527,"{""reason"": ""expired_card""}"
evt_9257ddc21f874a1a,payment,pay_f1fd826e8a764d26,cust_8426b2a6834e4e3b,payment.created,1499,INR,2026-07-17T10:20:06.788527,{}
evt_a614f87f27704b53,payment,pay_f1fd826e8a764d26,cust_8426b2a6834e4e3b,payment.authorized,1499,INR,2026-07-17T10:20:09.788527,{}
evt_b1a9a10efbfd48aa,payment,pay_f1fd826e8a764d26,cust_8426b2a6834e4e3b,payment.captured,1499,INR,2026-07-17T10:20:12.788527,{}
evt_7176105c50154915,payment,pay_483417f51a97446f,cust_9439d2d3c2d04c83,payment.created,999,INR,2026-07-18T03:16:23.788527,{}
evt_a2d49322b2d24cb7,payment,pay_483417f51a97446f,cust_9439d2d3c2d04c83,payment.authorized,999,INR,2026-07-18T03:16:29.788527,{}
evt_dc211a5a0b7b45d7,payment,pay_483417f51a97446f,cust_9439d2d3c2d04c83,payment.captured,999,INR,2026-07-18T03:16:31.788527,{}
evt_d3b66f72b05a475a,checkout,chk_4b28f98933cc4e93,cust_fa04fc20c4304c6f,checkout.created,499,INR,2026-07-18T10:28:31.788527,{}
evt_56dbe86e38c140d8,checkout,chk_4b28f98933cc4e93,cust_fa04fc20c4304c6f,checkout.completed,499,INR,2026-07-18T10:30:10.788527,{}
evt_a944a702b2444e28,payment,pay_fd52e2147f004c9a,cust_ea576ff1540448d8,payment.created,499,INR,2026-07-18T12:13:49.788527,{}
evt_c5aa9f4ed1bf4234,payment,pay_fd52e2147f004c9a,cust_ea576ff1540448d8,payment.authorized,499,INR,2026-07-18T12:13:58.788527,{}
evt_9733d0fbcc1b4a14,payment,pay_fd52e2147f004c9a,cust_ea576ff1540448d8,payment.captured,499,INR,2026-07-18T12:13:59.788527,{}
evt_7669bfe33c3a456c,payment,pay_6266551cc8c84314,cust_54036b6ee90a4f2f,payment.created,4999,INR,2026-07-18T16:03:11.788527,{}
