payment_id,customer_id,amount,currency,payment_method,status,created_at,failed_at,retry_count,error_code,error_source,recoverable,ground_truth_root_cause,ground_truth_action
pay_0eb62f191b5244f4,cust_e8aee4faf3904724,499,INR,wallet,captured,2026-08-05T07:18:54.788527,,0,,,,,
pay_f9dcb1c6e2f24b76,cust_887b0a10a8fa47c6,1499,INR,card,captured,2026-08-27T07:54:09.788527,,0,,,,,
pay_0eab01dba2aa448d,cust_826f3e6850d743de,999,INR,upi,captured,2026-08-23T20:16:46.788527,,0,,,,,
pay_448cab8f2883412c,cust_21822ad9691942ac,9999,INR,card,captured,2026-08-02T18:43:33.788527,,0,,,,,
pay_80105da22b7d4d6e,cust_3af15789a9c1437e,1499,INR,upi,captured,2026-08-11T02:42:23.788527,,0,,,,,
pay_0f4082db42c04191,cust_1a840cb83d274b59,2499,INR,netbanking,captured,2026-08-30T05:36:10.788527,,0,,,,,
pay_cbdc23ff94654910,cust_ca5aab22db5343d9,1499,INR,card,captured,2026-08-25T09:39:35.788527,,0,,,,,
pay_8ecdb519330543b7,cust_36a8af9bcfc0495b,2499,INR,upi,failed,2026-08-20T20:22:16.788527,2026-08-20T20:23:13.788527,1,GATEWAY_ERROR,gateway,true,gateway_failure,RETRY
pay_5baf10b444d8441c,cust_c5a7a49d0f944889,9999,INR,card,captured,2026-07-29T16:29:49.788527,,0,,,,,
pay_dea177790c5d4474,cust_5c7d96fbf609402b,499,INR,netbanking,captured,2026-08-17T16:44:01.788527,,0,,,,,
pay_4b2c4851910b42ef,cust_94a154527a1f408c,4999,INR,card,captured,2026-08-19T12:25:07.788527,,0,,,,,
pay_fc0131e6cd2041d3,cust_3156f977586f4925,1499,INR,wallet,captured,2026-08-16T06:40:32.788527,,0,,,,,
pay_7d0df7d03e3f4f35,cust_783cfaccb48b428f,1499,INR,wallet,captured,2026-08-25T15:05:51.788527,,0,,,,,
pay_483417f51a97446f,cust_9439d2d3c2d04c83,999,INR,netbanking,captured,2026-07-18T03:16:23.788527,,0,,,,,
pay_f072e2cd7d0d436c,cust_128887ede58a42fd,9999,INR,wallet,captured,2026-07-22T18:33:29.788527,,0,,,,,
pay_50e75686505141e4,cust_f4fa33d4c771491c,4999,INR,card,failed,2026-08-08T11:05:03.788527,2026-08-08T11:06:03.788527,1,BAD_REQUEST_ERROR,bank,true,insufficient_funds,RETRY
pay_30a89a0f303b404b,cust_7d96b4632bf64dee,999,INR,netbanking,failed,2026-08-19T12:35:30.788527,2026-08-19T12:36:06.788527,0,GATEWAY_ERROR,gateway,true,gateway_failure,RETRY
pay_7d4fd34c6cae4600,cust_fb7a8984133545b5,2499,INR,netbanking,captured,2026-08-16T07:14:52.788527,,0,,,,,
pay_4e646dc8f55d4dd9,cust_dedb88e4246f450a,4999,INR,card,captured,2026-08-11T01:59:31.788527,,0,,,,,
pay_036364bb1881461a,cust_2f3315fc8a3c42a5,499,INR,upi,captured,2026-08-30T12:46:39.788527,,0,,,,,
pay_7dfa4f1e986b4e90,cust_180b1bd629c54988,4999,INR,netbanking,failed,2026-08-28T05:56:22.788527,2026-08-28T05:56:54.788527,1,BAD_REQUEST_ERROR,bank,false,account_closed,ESCALATE
pay_db511284a7304284,cust_b4d4044fa3c74933,19999,INR,netbanking,failed,2026-08-23T19:10:41.788527,2026-08-23T19:11:10.788527,1,BAD_REQUEST_ERROR,bank,true,insufficient_funds,RETRY
pay_3295f62d502a40f4,cust_02976cbb3fc24540,999,INR,wallet,captured,2026-08-15T19:10:41.788527,,0,,,,,
pay_684fad4f3839456f,cust_163f2a427d0948cc,1499,INR,netbanking,failed,2026-08-27T05:44:44.788527,2026-08-27T05:45:36.788527,0,BAD_REQUEST_ERROR,bank,true,card_declined,RETRY
pay_23d4ba4b79634101,cust_68dd48ba801e4276,499,INR,upi,captured,2026-08-31T02:44:48.788527,,0,,,,,
pay_e187f28494d24bf9,cust_23b5d1b750d64aeb,1499,INR,upi,failed,2026-08-25T11:44:16.788527,2026-08-25T11:44:38.788527,2,SERVER_ERROR,business,true,network_error,RETRY
pay_de488a5afcf4490f,cust_8ab27c13c1794b4a,499,INR,card,captured,2026-08-20T07:43:28.788527,,0,,,,,
pay_f1fd826e8a764d26,cust_8426b2a6834e4e3b,1499,INR,wallet,captured,2026-07-17T10:20:06.788527,,0,,,,,
pay_39125fa97fbf41d4,cust_648d41a9227e4e6f,999,INR,card,failed,2026-08-27T18:04:33.788527,2026-08-27T18:05:33.788527,1,GATEWAY_ERROR,gateway,true,gateway_failure,RETRY
pay_12fc94c69bfa41b6,cust_bb9a6cfd20b4420e,1499,INR,upi,captured,2026-07-26T22:20:59.788527,,0,,,,,
pay_1d9ed4740df54db4,cust_128887ede58a42fd,4999,INR,wallet,captured,2026-08-15T21:13:22.788527,,0,,,,,
pay_d56e4f9951f64e6b,cust_8ab27c13c1794b4a,2499,INR,card,captured,2026-08-22T11:28:30.788527,,0,,,,,
pay_1d7269a2ec014cff,cust_e8aee4faf3904724,499,INR,wallet,failed,2026-08-21T19:09:00.788527,2026-08-21T19:09:17.788527,2,GATEWAY_ERROR,gateway,true,gateway_failure,RETRY
pay_7dee65ff30cb4a6f,cust_59faf58c22924d8a,2499,INR,card,captured,2026-08-31T10:09:54.788527,,0,,,,,
