subscription_id,customer_id,plan_id,mrr_value,currency,status,auth_attempts,paid_count,created_at,pending_since,halted_at,failure_reason,recoverable,ground_truth_action
sub_4b156de2d28d468c,cust_ea3eede4f0be4e60,plan_pro,1499,INR,active,0,4,2026-08-17T07:58:54.788527,,,,,
sub_c9f9e91e0f5b492d,cust_1fd68ddf9da241bb,plan_pro,1499,INR,active,0,3,2026-08-16T04:29:50.788527,,,,,
sub_ef64e3e5a419458d,cust_17d5cf7732f74583,plan_business,4999,INR,active,0,3,2026-08-20T14:30:51.788527,,,,,
sub_844f59cf82064b20,cust_3e86430a38564acc,plan_business,4999,INR,pending,1,2,2026-08-02T03:07:26.788527,2026-08-27T04:18:02.788527,,expired_card,true,PAYMENT_UPDATE
sub_630b82d0c27040c3,cust_ea0115a30b1748f1,plan_business,4999,INR,active,0,4,2026-08-13T16:50:08.788527,,,,,
sub_6ea5b4ba47fb4af9,cust_504b3cc5cc474e1d,plan_business,4999,INR,active,0,4,2026-08-30T09:36:32.788527,,,,,
sub_c5c2e914f2b0425a,cust_d29ae75ab38a4062,plan_business,4999,INR,active,0,2,2026-08-22T02:58:03.788527,,,,,
sub_5870ab38636147ef,cust_af5996552ee245bc,plan_pro,1499,INR,active,0,2,2026-08-21T00:36:38.788527,,,,,
sub_2469fd079df74cc1,cust_5f0d0617f7694a61,plan_business,4999,INR,pending,3,1,2026-07-22T06:23:53.788527,2026-08-21T06:23:53.788527,,insufficient_funds,true,RETRY
sub_1e39ac11815b415f,cust_e033e6ddd76345b3,plan_pro,1499,INR,active,0,4,2026-07-27T17:07:27.788527,,,,,
sub_714eab75aa3c4465,cust_4a98abc09c464fbc,plan_business,4999,INR,halted,2,5,2026-08-21T20:13:33.788527,2026-08-29T14:22:47.788527,2026-09-01T14:22:47.788527,expired_card,true,PAYMENT_UPDATE
sub_1dc30fac5e0146b9,cust_ad90e9f7d19d4c44,plan_business,4999,INR,active,0,3,2026-08-17T17:35:41.788527,,,,,
sub_beea745e402e43ae,cust_394605899d5d4db7,plan_business,4999,INR,pending,3,3,2026-08-18T15:12:52.788527,2026-08-20T16:35:10.788527,,card_declined,true,RETRY
sub_f9ea5ce4fc204cdd,cust_c2aceec8199a4c1d,plan_basic,499,INR,active,0,2,2026-08-28T00:23:46.788527,,,,,
sub_c0f63ebe1d2b4cf4,cust_7d96b4632bf64dee,plan_basic,499,INR,active,0,4,2026-08-15T10:45:40.788527,,,,,
sub_ed7a8517877e4fca,cust_4e214f61310847b8,plan_business,4999,INR,active,0,2,2026-07-28T04:34:06.788527,,,,,
sub_568b99cb81754958,cust_97fafd32383e419a,plan_business,4999,INR,active,0,2,2026-08-05T14:08:58.788527,,,,,
sub_323f8f004a9846b5,cust_83f6a4d4c15d4ed1,plan_pro,1499,INR,active,0,2,2026-08-13T09:05:55.788527,,,,,
sub_330eef904d5c453c,cust_c2aceec8199a4c1d,plan_pro,1499,INR,active,0,3,2026-09-01T09:51:15.788527,,,,,
sub_5f5197ebc3784224,cust_595c59e965814558,plan_basic,499,INR,active,0,4,2026-08-19T16:31:31.788527,,,,,
sub_ab17ab58afc248af,cust_9869eceec96f4583,plan_business,4999,INR,active,0,4,2026-08-07T06:32:56.788527,,,,,
sub_e12e1a86bb4e4119,cust_bada2daed92440e9,plan_pro,1499,INR,active,0,5,2026-08-10T20:45:29.788527,,,,,
sub_65fdf69812cf4310,cust_f81c174802634e2b,plan_pro,1499,INR,active,0,2,2026-08-15T01:59:10.788527,,,,,
sub_347e133761ce4363,cust_e033e6ddd76345b3,plan_basic,499,INR,pending,3,5,2026-08-01T15:37:32.788527,2026-08-25T16:42:27.788527,,expired_card,true,PAYMENT_UPDATE
sub_27fba8d2dee04406,cust_2416493153d543d9,plan_pro,1499,INR,pending,3,3,2026-07-15T05:54:23.788527,2026-07-19T06:51:58.788527,,network_error,true,RETRY
sub_06700ae44d1f4bff,cust_441b3f6e01e34c1a,plan_pro,1499,INR,active,0,2,2026-08-13T23:07:18.788527,,,,,
sub_aec372b2cb06439b,cust_1710a94bf83644ed,plan_pro,1499,INR,active,0,1,2026-08-21T23:05:08.788527,,,,,
sub_9027fa737b1f420b,cust_8426b2a6834e4e3b,plan_basic,499,INR,active,0,5,2026-07-19T21:21:17.788527,,,,,
sub_17f840ffc0954562,cust_0985e6d73ae541f9,plan_business,4999,INR,active,0,4,2026-08-06T17:45:11.788527,,,,,
sub_6d9ed5b60c0840b9,cust_f4fa33d4c771491c,plan_basic,499,INR,pending,1,2,2026-08-09T07:08:45.788527,2026-08-28T20:20:57.788527,,expired_card,true,PAYMENT_UPDATE
sub_509f2ddfb8124723,cust_d4679ce903064450,plan_pro,1499,INR,active,0,2,2026-08-02T10:36:38.788527,,,,,
sub_b6d30799587f4632,cust_f93c546713c44edb,plan_pro,1499,INR,active,0,5,2026-08-18T02:56:07.788527,,,,,
sub_7d44eb1d2c61491c,cust_180b1bd629c54988,plan_basic,499,INR,active,0,4,2026-08-21T11:59:02.788527,,,,,
sub_eb3ebdbdb185480e,cust_e1f063bc7ce1418e,plan_business,4999,INR,active,0,2,2026-08-02T04:05:04.788527,,,,,
sub_690c91168e2044c4,cust_4889ef6ccd83460e,plan_business,4999,INR,active,0,2,2026-08-13T19:41:07.788527,,,,,
sub_9f04a76ce3e84f99,cust_e21b04e4e9654e21,plan_business,4999,INR,active,0,2,2026-08-22T07:43:24.788527,,,,,
sub_93d4bd8db28f4943,cust_a57d798bed6a4db9,plan_pro,1499,INR,active,0,4,2026-08-21T07:35:39.788527,,,,,
sub_75629f21f3b74b5c,cust_af5996552ee245bc,plan_business,4999,INR,pending,3,1,2026-08-16T17:29:24.788527,2026-08-26T12:10:04.788527,,invalid_payment_method,true,PAYMENT_UPDATE
sub_8f1200a6d735496f,cust_ad67e7949c084dfd,plan_pro,1499,INR,active,0,4,2026-08-17T08:59:12.788527,,,,,
sub_6e56e1cef70b415f,cust_648d41a9227e4e6f,plan_basic,499,INR,halted,2,1,2026-08-21T16:59:36.788527,2026-08-30T13:53:34.788527,2026-09-01T20:13:26.799089,invalid_payment_method,true,PAYMENT_UPDATE
sub_9d90b757ac0d4bcb,cust_fa04fc20c4304c6f,plan_pro,1499,INR,halted,1,5,2026-08-11T21:32:32.788527,2026-08-21T13:13:43.788527,2026-08-24T13:13:43.788527,network_error,true,RETRY
sub_1c19a71e076c4a05,cust_783d980f78b2438c,plan_pro,1499,INR,active,0,3,2026-08-18T07:20:00.788527,,,,,
sub_ceff95ba8bd943ea,cust_e3452a1e8a8b45e6,plan_business,4999,INR,active,0,4,2026-08-16T14:26:54.788527,,,,,
sub_ebbc5d1617a64167,cust_fec8a5bbb1334527,plan_basic,499,INR,active,0,4,2026-08-21T02:23:33.788527,,,,,
sub_6994178899304e23,cust_87be90a2f9f24991,plan_basic,499,INR,active,0,1,2026-07-31T06:38:03.788527,,,,,
sub_850243a21579425c,cust_8c792f3cf57b42b9,plan_business,4999,INR,halted,2,3,2026-08-06T10:27:58.788527,2026-08-14T03:41:18.788527,2026-08-17T03:41:18.788527,insufficient_funds,true,RETRY
sub_befd644b9c2641ff,cust_8d46cc1c22de4cd6,plan_pro,1499,INR,active,0,2,2026-08-09T00:40:46.788527,,,,,
sub_b655cc9918e04ac7,cust_c90bac92129b4d26,plan_business,4999,INR,active,0,2,2026-08-07T21:00:24.788527,,,,,
sub_db8b1d33fc5f4dca,cust_8c792f3cf57b42b9,plan_business,4999,INR,active,0,2,2026-08-01T01:00:11.788527,,,,,
sub_ed393d209fb2420c,cust_952f30d066ab43cf,plan_basic,499,INR,active,0,5,2026-07-13T20:41:34.788527,,,,,
sub_dbc7bffb691d4359,cust_d58a9c3e580e4c22,plan_basic,499,INR,active,0,3,2026-07-31T07:06:39.788527,,,,,
sub_543f867d72ec4a8b,cust_af99e9041ec444f5,plan_pro,1499,INR,active,0,4,2026-08-22T16:50:06.788527,,,,,
sub_8f65965ce0d44092,cust_cff3af5eb2dc438a,plan_pro,1499,INR,active,0,1,2026-08-04T10:35:30.788527,,,,,
sub_a3c15243a1214380,cust_0e03bed9d89645d0,plan_pro,1499,INR,halted,1,2,2026-07-30T04:13:46.788527,2026-08-17T18:07:55.788527,2026-08-20T18:07:55.788527,invalid_payment_method,true,PAYMENT_UPDATE
sub_55721ad7da8e4502,cust_180b1bd629c54988,plan_basic,499,INR,active,0,1,2026-08-05T04:19:28.788527,,,,,
sub_42daa5ebe0464db5,cust_2e9148932561447e,plan_pro,1499,INR,active,0,2,2026-08-20T01:30:08.788527,,,,,
sub_291f353a6a4747c5,cust_cc243c590f6e44bc,plan_basic,499,INR,halted,2,5,2026-08-21T10:30:05.788527,2026-08-29T18:28:42.788527,2026-09-01T18:28:42.788527,bank_timeout,true,RETRY
sub_17601c215a5642b1,cust_4fe4f79fd2d0458c,plan_basic,499,INR,active,0,1,2026-07-13T17:51:10.788527,,,,,
sub_d1dcae34cc2741ea,cust_68b0cd2a60874b50,plan_pro,1499,INR,active,0,4,2026-08-17T15:26:05.788527,,,,,
sub_bb6a93f1cd694f74,cust_c2aceec8199a4c1d,plan_basic,499,INR,active,0,1,2026-09-01T02:26:25.788527,,,,,
sub_511e739d883b4f30,cust_4889ef6ccd83460e,plan_business,4999,INR,active,0,5,2026-08-18T18:16:38.788527,,,,,
sub_1d2a10c770ca4a69,cust_c9edfc47f4094f36,plan_basic,499,INR,pending,3,3,2026-09-01T13:51:38.788527,2026-09-01T15:43:51.788527,,expired_card,true,PAYMENT_UPDATE
sub_5740ae8e01c64a14,cust_8da17a1e673b4190,plan_business,4999,INR,active,0,1,2026-08-13T09:18:17.788527,,,,,
sub_a9832bce3f8041c8,cust_3fc0d32b4b1547f3,plan_pro,1499,INR,active,0,4,2026-08-02T09:20:55.788527,,,,,
sub_0f2417ee94bd491d,cust_b4d4044fa3c74933,plan_basic,499,INR,active,0,1,2026-08-11T10:26:42.788527,,,,,
sub_2a67f95f7bb940e9,cust_41d0947faf7543d9,plan_pro,1499,INR,active,0,5,2026-08-22T13:27:58.788527,,,,,
sub_1ce281d260d04039,cust_8562825a26ac4ed1,plan_business,4999,INR,active,0,4,2026-07-30T15:34:04.788527,,,,,
sub_0fbe25ed36f84b5b,cust_e0e0dd5c13ed4e86,plan_basic,499,INR,active,0,1,2026-07-31T13:01:50.788527,,,,,
sub_6042ca0fd07f4fa9,cust_59faf58c22924d8a,plan_basic,499,INR,halted,2,4,2026-08-18T13:03:14.788527,2026-08-30T20:10:34.788527,2026-09-01T20:13:26.799669,invalid_payment_method,true,PAYMENT_UPDATE
sub_a07104b38f7a425c,cust_e7a49d9fe4654ddb,plan_pro,1499,INR,active,0,4,2026-08-14T20:53:35.788527,,,,,
sub_e43bef5754484871,cust_d06f46d540b54ac3,plan_business,4999,INR,active,0,2,2026-08-22T05:07:01.788527,,,,,
sub_f7b9c636658b4b1b,cust_ad67e7949c084dfd,plan_pro,1499,INR,active,0,2,2026-08-02T12:59:28.788527,,,,,
sub_27d921dd92a54bea,cust_996d47dc3a1a4c1a,plan_pro,1499,INR,active,0,1,2026-08-29T14:29:51.788527,,,,,
sub_dde22383dcbf40e5,cust_2673cf5c72eb4eea,plan_pro,1499,INR,pending,1,2,2026-08-22T10:45:12.788527,2026-08-23T03:37:11.788527,,insufficient_funds,true,RETRY
sub_6b9434f12c8c480d,cust_2d27e3977a0a4974,plan_pro,1499,INR,active,0,1,2026-08-12T22:31:31.788527,,,,,
sub_f5b3a955ce854699,cust_2673cf5c72eb4eea,plan_business,4999,INR,active,0,2,2026-08-20T20:46:33.788527,,,,,
sub_192e84e8f9c744ea,cust_af99e9041ec444f5,plan_business,4999,INR,active,0,1,2026-08-02T03:01:42.788527,,,,,
sub_04bc4358eecf42fd,cust_bdae09b0e0e448b0,plan_pro,1499,INR,active,0,3,2026-08-21T17:42:20.788527,,,,,
sub_d4ae26e424a949d8,cust_f4fa33d4c771491c,plan_basic,499,INR,pending,1,3,2026-07-28T10:32:13.788527,2026-08-03T04:04:59.788527,,gateway_failure,true,RETRY
sub_913def38ea0f4f3c,cust_8c792f3cf57b42b9,plan_business,4999,INR,active,0,5,2026-08-09T19:37:43.788527,,,,,
sub_7b20d42603ea4ac0,cust_cc243c590f6e44bc,plan_pro,1499,INR,active,0,3,2026-08-17T08:45:03.788527,,,,,
sub_02aedfdf3edc4fc4,cust_4fcee444813e4f00,plan_business,4999,INR,active,0,2,2026-08-04T00:41:29.788527,,,,,
sub_af592e4f015449be,cust_2f3315fc8a3c42a5,plan_business,4999,INR,active,0,1,2026-08-03T03:44:41.788527,,,,,
sub_4fde57e0468b4c2b,cust_34b982c2e8264313,plan_basic,499,INR,active,0,1,2026-08-12T13:45:01.788527,,,,,
sub_371a2cf10d874a4f,cust_826f3e6850d743de,plan_pro,1499,INR,active,0,2,2026-07-12T17:27:44.788527,,,,,
sub_44899a81de9f4418,cust_51e06e8e8ca8476a,plan_business,4999,INR,pending,2,4,2026-07-29T03:38:59.788527,2026-08-09T01:13:45.788527,,card_declined,true,RETRY
sub_5c1dfa6425434aef,cust_bada2daed92440e9,plan_pro,1499,INR,pending,1,5,2026-08-04T20:23:05.788527,2026-08-22T22:44:16.788527,,expired_card,true,PAYMENT_UPDATE
sub_db48b74e3a6743c4,cust_d8b4a5646e3e44f3,plan_basic,499,INR,active,0,5,2026-07-28T07:28:49.788527,,,,,
sub_b87f533b8378461f,cust_17d5cf7732f74583,plan_basic,499,INR,halted,2,3,2026-08-10T16:06:08.788527,2026-08-29T10:42:53.788527,2026-09-01T10:42:53.788527,gateway_failure,true,RETRY
sub_b8125330699e440b,cust_cf371e95411c46aa,plan_pro,1499,INR,active,0,2,2026-08-13T02:57:29.788527,,,,,
sub_9916df487a614027,cust_2022604ccef64b86,plan_pro,1499,INR,pending,2,2,2026-08-10T14:31:04.788527,2026-08-21T20:46:29.788527,,expired_card,true,PAYMENT_UPDATE
sub_7e796eba891a408c,cust_31d470848d504be8,plan_business,4999,INR,halted,1,2,2026-08-15T21:32:06.788527,2026-08-19T13:14:47.788527,2026-08-22T13:14:47.788527,network_error,true,RETRY
sub_e68cbd4aaadd4f86,cust_b60bd69212d54c0f,plan_business,4999,INR,active,0,1,2026-08-05T01:24:11.788527,,,,,
sub_bb3b43017d6148fc,cust_d276bb31e5994b2d,plan_business,4999,INR,active,0,3,2026-07-18T22:03:45.788527,,,,,
sub_5a90b2d3d31c4615,cust_0e03bed9d89645d0,plan_business,4999,INR,halted,1,4,2026-07-24T22:13:02.788527,2026-08-17T19:28:21.788527,2026-08-20T19:28:21.788527,card_declined,true,RETRY
sub_3af9ba8141c44bc3,cust_e7a49d9fe4654ddb,plan_basic,499,INR,active,0,2,2026-08-09T12:01:16.788527,,,,,
sub_15a14a7ba5d24b95,cust_ea3eede4f0be4e60,plan_business,4999,INR,halted,3,4,2026-08-15T15:16:47.788527,2026-08-17T16:44:21.788527,2026-08-20T16:44:21.788527,insufficient_funds,true,RETRY
sub_f47e1833f6de452a,cust_d858520b91764b98,plan_business,4999,INR,pending,3,1,2026-07-26T08:21:38.788527,2026-08-25T08:21:38.788527,,expired_card,true,PAYMENT_UPDATE
sub_ffe6281bef9e4ec9,cust_e1f063bc7ce1418e,plan_business,4999,INR,halted,2,2,2026-08-09T19:46:15.788527,2026-08-16T21:41:04.788527,2026-08-19T21:41:04.788527,bank_timeout,true,RETRY
sub_2fee7222e6614743,cust_c2aceec8199a4c1d,plan_pro,1499,INR,pending,2,3,2026-09-01T03:51:31.788527,2026-09-01T09:38:56.788527,,gateway_failure,true,RETRY
